fid,OBJECTID,MPDMR_NO,ARA_XCRD,ARA_YCRD,PRRCK_LARG,PRRCK_MDDL,LOCTN_ALTT,LOCTN_GRDN,EIGHT_ORBR,CLZN_CD,TPGRP_TPCD,PRDN_FOM_C,SLANT_TYP_,SLDPT_TPCD,SCSTX_CD,SLTP_CD,LDMARK_STN,MAP_LABEL_,Shape_Leng,Shape_Area
1083978,1083978,"37608094","184714.52","444917.78","3","31",51.200000000000003,18.600000000000001,81.299999999999997,"2","07","05","2","20","01","02","L102","B©ü",2161.707548616705500,30266.384971212792000
1083985,1083985,"37608094","185184.52","445042.78","3","31",77.700000000000003,12.000000000000000,146.099999999999990,"2","07","01","1","10","01","01","L101","B©û",6436.562571294809500,195081.223365956020000
1083973,1083973,"37608094","184579.52","444927.78","3","31",51.899999999999999,12.100000000000000,200.800000000000010,"2","","","","","","82","L983","R",184.400763128436440,1482.983500170302500
1083970,1083970,"37608093","184442.69","444950.68","3","31",64.200000000000003,17.699999999999999,123.500000000000000,"2","","","","","","82","L983","R",166.835068615669000,1645.670388392956100
1083966,1083966,"37608093","184379.1","445030.97","3","31",80.299999999999997,6.800000000000000,71.599999999999994,"2","","","","","","93","L993","C",227.068049705706300,2710.624838053375700
1086201,1086201,"37608093","184091","444746","3","31",77.500000000000000,14.900000000000000,319.000000000000000,"2","07","05","2","20","02","02","L102","B©ü",2752.852357166374100,65724.992587529967000
1086210,1086210,"37612004","185335","444303","3","31",82.200000000000003,20.399999999999999,208.400000000000010,"2","07","01","1","10","01","05","L105","rB©û",4558.240008159083100,134989.284510847120000
1086837,1086837,"37612003","183609.81","444156.48","3","31",60.299999999999997,11.400000000000000,209.699999999999990,"2","07","05","2","20","02","02","L102","B©ü",501.180816998391610,7393.011512330212100
1086838,1086838,"37612003","183847.14","444224.65","3","31",58.500000000000000,14.699999999999999,205.300000000000010,"2","07","05","2","20","02","02","L102","B©ü",1316.014083944040500,21583.229796916054000
1088242,1088242,"37608093","184172.69","444935.68","3","31",90.200000000000003,7.300000000000000,228.300000000000010,"2","07","01","1","10","01","01","L101","B©û",4455.966911433034500,129967.902945546030000
1088243,1088243,"37608094","185889.52","444967.78","3","31",52.500000000000000,16.100000000000001,131.400000000000010,"2","07","05","2","20","02","02","L102","B©ü",3049.825525638797900,83499.141962552749000
1758740,1758740,"37612003","184091.07","443835.53","3","31",52.399999999999999,13.000000000000000,206.000000000000000,"2","07","05","2","20","01","06","L106","rB©ü",1268.881377867144200,22938.158449038008000
1758741,1758741,"37612003","184146.07","443870.53","3","31",69.900000000000006,13.900000000000000,196.300000000000010,"2","07","01","1","20","01","05","L105","rB©û",964.288140869814700,18876.848567132478000
1758742,1758742,"37612003","184296.07","443875.53","3","31",51.299999999999997,15.800000000000001,240.099999999999990,"2","07","05","2","20","02","06","L106","rB©ü",1196.572592019351300,20024.632447353732000
1758743,1758743,"37612003","184426.07","443950.53","3","31",65.000000000000000,12.300000000000001,116.599999999999990,"2","07","01","1","20","01","05","L105","rB©û",1254.005918231896900,25655.611623152705000
1758765,1758765,"37612003","183446","444110","3","31",79.000000000000000,17.600000000000001,107.099999999999990,"2","07","01","1","20","01","05","L105","rB©û",2639.253366850372500,49826.364069633986000
